player_id,experiment_group,country,platform,acquisition_channel,age_group,d1_retained,d3_retained,d7_retained,d14_retained,total_active_days,total_sessions,total_levels_completed,total_session_minutes,total_hints_used,total_ads_watched,purchase_count,revenue,is_payer
P00001,Daily_Reward,Australia,Android,Organic,18-24,1,1,1,0,8,23,61,327.2,6,24,0,0.0,0
P00002,Control,United States,Android,Google Ads,45+,1,1,1,0,5,14,39,89.3,5,21,0,0.0,0
P00003,Control,Canada,Android,TikTok Ads,25-34,0,0,0,0,2,5,14,44.5,0,6,0,0.0,0
P00004,Daily_Reward,Australia,iOS,Referral,45+,1,1,0,0,4,9,26,49.9,5,12,1,3.14,1
P00005,Control,India,iOS,Referral,25-34,1,0,0,0,3,5,22,39.900000000000006,4,4,0,0.0,0
P00006,Control,United States,Android,Referral,25-34,0,0,0,0,1,2,4,14.7,1,1,0,0.0,0
P00007,Control,Australia,Android,TikTok Ads,25-34,0,1,0,1,4,7,27,83.1,2,10,0,0.0,0
P00008,Free_Hint,Australia,Android,Organic,25-34,0,0,0,0,1,1,5,16.4,2,1,0,0.0,0
P00009,Daily_Reward,Canada,Android,Meta Ads,18-24,1,0,0,0,3,8,12,44.8,0,10,0,0.0,0
P00010,Free_Hint,Australia,iOS,Google Ads,25-34,0,0,0,0,2,6,10,59.3,1,3,0,0.0,0
P00011,Control,United States,Android,TikTok Ads,45+,0,0,0,0,5,15,42,101.6,0,17,0,0.0,0
P00012,Control,Australia,iOS,TikTok Ads,18-24,0,1,0,0,5,12,34,92.6,6,8,0,0.0,0
P00013,Daily_Reward,United States,iOS,Organic,35-44,0,0,0,0,4,12,27,63.0,5,5,0,0.0,0
P00014,Control,United States,Android,Google Ads,35-44,0,0,1,0,4,7,22,50.800000000000004,5,13,1,4.99,1
P00015,Daily_Reward,Australia,iOS,Google Ads,25-34,0,0,1,0,3,3,10,11.4,1,5,0,0.0,0
P00016,Daily_Reward,United States,Android,Google Ads,45+,0,0,1,1,3,6,12,37.0,0,13,0,0.0,0
P00017,Daily_Reward,India,Android,TikTok Ads,18-24,0,0,0,0,3,9,28,98.1,2,12,1,3.14,1
P00018,Control,India,Android,Referral,18-24,0,0,0,0,2,4,7,14.399999999999999,0,8,0,0.0,0
P00019,Control,India,Android,Organic,18-24,1,1,0,0,9,23,76,188.3,8,27,0,0.0,0
P00020,Daily_Reward,United Kingdom,iOS,Organic,45+,1,0,0,0,3,5,22,20.599999999999998,3,9,0,0.0,0
P00021,Daily_Reward,India,iOS,Meta Ads,18-24,1,1,0,0,3,7,25,43.1,2,8,0,0.0,0
P00022,Daily_Reward,India,iOS,Google Ads,18-24,0,0,0,0,5,13,39,112.5,6,22,0,0.0,0
P00023,Daily_Reward,United States,Android,Meta Ads,18-24,0,0,0,0,4,6,23,46.2,4,8,0,0.0,0
P00024,Control,United Kingdom,Android,Google Ads,45+,0,0,0,0,1,2,4,12.7,0,3,0,0.0,0
P00025,Free_Hint,United States,Android,Google Ads,35-44,0,0,0,1,5,11,27,181.8,4,13,0,0.0,0
P00026,Daily_Reward,India,Android,TikTok Ads,18-24,1,0,0,0,5,12,30,91.0,3,21,0,0.0,0
P00027,Control,Canada,Android,Organic,25-34,0,0,0,0,3,5,8,70.9,1,12,0,0.0,0
P00028,Daily_Reward,United Kingdom,Android,Organic,35-44,1,0,0,0,6,13,31,104.5,1,12,0,0.0,0
P00029,Free_Hint,United States,Android,Referral,35-44,1,1,0,0,5,14,38,162.79999999999998,2,16,0,0.0,0
P00030,Control,India,Android,Organic,25-34,1,0,0,0,3,5,16,74.3,1,5,0,0.0,0
P00031,Daily_Reward,United States,iOS,Meta Ads,35-44,1,1,0,0,7,21,76,302.0,9,23,0,0.0,0
P00032,Control,Canada,Android,Google Ads,18-24,0,0,0,0,3,5,18,76.4,3,10,0,0.0,0
P00033,Control,Canada,iOS,Organic,25-34,0,0,0,0,1,4,6,79.4,1,9,0,0.0,0
P00034,Daily_Reward,Canada,Android,Organic,25-34,0,0,0,0,1,1,2,14.7,1,0,0,0.0,0
P00035,Free_Hint,United States,Android,Organic,25-34,1,1,0,0,5,16,33,160.89999999999998,1,18,1,9.39,1
P00036,Free_Hint,India,Android,Referral,25-34,0,1,0,0,5,19,41,176.1,5,13,0,0.0,0
P00037,Control,India,Android,Organic,35-44,0,0,0,0,3,5,22,70.2,1,11,0,0.0,0
P00038,Control,India,Android,Organic,35-44,0,1,0,0,6,13,27,119.5,1,15,0,0.0,0
P00039,Free_Hint,India,Android,Google Ads,25-34,0,0,0,1,4,7,21,76.7,2,9,0,0.0,0
P00040,Control,India,iOS,TikTok Ads,35-44,0,1,0,1,5,5,21,43.3,1,10,0,0.0,0
P00041,Control,India,Android,Organic,25-34,1,0,1,1,7,26,63,258.7,4,37,0,0.0,0
P00042,Control,India,iOS,TikTok Ads,18-24,0,0,0,0,1,2,10,4.6,1,2,0,0.0,0
P00043,Free_Hint,Canada,Android,Referral,18-24,0,0,0,0,4,12,30,78.5,2,8,0,0.0,0
