player_id,signup_date,country,platform,acquisition_channel,age_group,experiment_group
P00001,2026-01-07,Australia,Android,Organic,18-24,Daily_Reward
P00002,2026-01-01,United States,Android,Google Ads,45+,Control
P00003,2026-01-12,Canada,Android,TikTok Ads,25-34,Control
P00004,2026-01-07,Australia,iOS,Referral,45+,Daily_Reward
P00005,2026-01-01,India,iOS,Referral,25-34,Control
P00006,2026-01-14,United States,Android,Referral,25-34,Control
P00007,2026-01-12,Australia,Android,TikTok Ads,25-34,Control
P00008,2026-01-10,Australia,Android,Organic,25-34,Free_Hint
P00009,2026-01-13,Canada,Android,Meta Ads,18-24,Daily_Reward
P00010,2026-01-04,Australia,iOS,Google Ads,25-34,Free_Hint
P00011,2026-01-01,United States,Android,TikTok Ads,45+,Control
P00012,2026-01-15,Australia,iOS,TikTok Ads,18-24,Control
P00013,2026-01-07,United States,iOS,Organic,35-44,Daily_Reward
P00014,2026-01-06,United States,Android,Google Ads,35-44,Control
P00015,2026-01-06,Australia,iOS,Google Ads,25-34,Daily_Reward
P00016,2026-01-04,United States,Android,Google Ads,45+,Daily_Reward
P00017,2026-01-12,India,Android,TikTok Ads,18-24,Daily_Reward
P00018,2026-01-05,India,Android,Referral,18-24,Control
P00019,2026-01-13,India,Android,Organic,18-24,Control
P00020,2026-01-08,United Kingdom,iOS,Organic,45+,Daily_Reward
P00021,2026-01-12,India,iOS,Meta Ads,18-24,Daily_Reward
P00022,2026-01-03,India,iOS,Google Ads,18-24,Daily_Reward
P00023,2026-01-15,United States,Android,Meta Ads,18-24,Daily_Reward
P00024,2026-01-07,United Kingdom,Android,Google Ads,45+,Control
P00025,2026-01-10,United States,Android,Google Ads,35-44,Free_Hint
P00026,2026-01-15,India,Android,TikTok Ads,18-24,Daily_Reward
P00027,2026-01-06,Canada,Android,Organic,25-34,Control
P00028,2026-01-14,United Kingdom,Android,Organic,35-44,Daily_Reward
P00029,2026-01-06,United States,Android,Referral,35-44,Free_Hint
P00030,2026-01-03,India,Android,Organic,25-34,Control
P00031,2026-01-14,United States,iOS,Meta Ads,35-44,Daily_Reward
P00032,2026-01-02,Canada,Android,Google Ads,18-24,Control
P00033,2026-01-15,Canada,iOS,Organic,25-34,Control
P00034,2026-01-10,Canada,Android,Organic,25-34,Daily_Reward
P00035,2026-01-12,United States,Android,Organic,25-34,Free_Hint
P00036,2026-01-11,India,Android,Referral,25-34,Free_Hint
P00037,2026-01-13,India,Android,Organic,35-44,Control
P00038,2026-01-08,India,Android,Organic,35-44,Control
P00039,2026-01-05,India,Android,Google Ads,25-34,Free_Hint
P00040,2026-01-14,India,iOS,TikTok Ads,35-44,Control
P00041,2026-01-12,India,Android,Organic,25-34,Control
P00042,2026-01-05,India,iOS,TikTok Ads,18-24,Control
P00043,2026-01-11,Canada,Android,Referral,18-24,Free_Hint
P00044,2026-01-08,India,Android,TikTok Ads,18-24,Free_Hint
P00045,2026-01-14,United States,iOS,Meta Ads,35-44,Control
P00046,2026-01-04,Australia,iOS,Organic,35-44,Free_Hint
P00047,2026-01-15,United Kingdom,Android,Organic,45+,Control
P00048,2026-01-14,United Kingdom,Android,Referral,18-24,Control
P00049,2026-01-10,United Kingdom,Android,Google Ads,18-24,Control
P00050,2026-01-06,United Kingdom,Android,TikTok Ads,18-24,Free_Hint
P00051,2026-01-05,India,Android,Google Ads,45+,Free_Hint
P00052,2026-01-05,India,iOS,Google Ads,25-34,Free_Hint
P00053,2026-01-07,United Kingdom,iOS,TikTok Ads,25-34,Daily_Reward
P00054,2026-01-01,United Kingdom,Android,Meta Ads,35-44,Control
P00055,2026-01-10,Canada,Android,TikTok Ads,18-24,Daily_Reward
P00056,2026-01-10,United Kingdom,Android,Meta Ads,25-34,Control
P00057,2026-01-10,United Kingdom,iOS,Organic,18-24,Control
P00058,2026-01-04,Canada,iOS,Google Ads,25-34,Free_Hint
P00059,2026-01-07,India,Android,Organic,35-44,Free_Hint
P00060,2026-01-12,India,Android,TikTok Ads,25-34,Daily_Reward
P00061,2026-01-03,India,Android,TikTok Ads,25-34,Control
P00062,2026-01-10,Australia,Android,TikTok Ads,45+,Daily_Reward
P00063,2026-01-08,India,Android,Organic,35-44,Daily_Reward
P00064,2026-01-14,India,iOS,Meta Ads,25-34,Control
P00065,2026-01-03,United States,Android,Google Ads,18-24,Free_Hint
P00066,2026-01-10,Canada,Android,Google Ads,25-34,Free_Hint
P00067,2026-01-14,Canada,Android,Meta Ads,18-24,Free_Hint
P00068,2026-01-07,India,Android,TikTok Ads,35-44,Daily_Reward
P00069,2026-01-11,India,iOS,Organic,18-24,Daily_Reward
P00070,2026-01-02,India,Android,Google Ads,18-24,Control
P00071,2026-01-01,Australia,Android,Meta Ads,25-34,Daily_Reward
P00072,2026-01-15,India,Android,Organic,18-24,Daily_Reward
P00073,2026-01-11,India,Android,TikTok Ads,18-24,Control
P00074,2026-01-12,India,Android,Organic,18-24,Free_Hint
P00075,2026-01-12,India,Android,Google Ads,35-44,Control
P00076,2026-01-07,United States,Android,Google Ads,25-34,Free_Hint
P00077,2026-01-07,Canada,Android,Referral,25-34,Free_Hint
P00078,2026-01-05,Australia,Android,Referral,18-24,Free_Hint
P00079,2026-01-02,United States,iOS,Organic,45+,Free_Hint
P00080,2026-01-08,Canada,Android,TikTok Ads,45+,Daily_Reward
P00081,2026-01-06,India,iOS,Organic,35-44,Daily_Reward
P00082,2026-01-02,India,Android,Referral,35-44,Free_Hint
P00083,2026-01-12,India,iOS,Google Ads,18-24,Free_Hint
P00084,2026-01-07,India,iOS,Organic,25-34,Control
P00085,2026-01-01,United States,iOS,Meta Ads,35-44,Free_Hint
P00086,2026-01-08,United States,Android,Organic,18-24,Free_Hint
P00087,2026-01-13,Australia,Android,TikTok Ads,25-34,Daily_Reward
P00088,2026-01-13,India,Android,Referral,25-34,Free_Hint
P00089,2026-01-05,India,Android,Google Ads,45+,Daily_Reward
P00090,2026-01-06,India,Android,Meta Ads,45+,Control
P00091,2026-01-14,United Kingdom,Android,Organic,25-34,Daily_Reward
P00092,2026-01-04,United States,Android,Meta Ads,25-34,Daily_Reward
P00093,2026-01-13,United Kingdom,Android,TikTok Ads,25-34,Control
P00094,2026-01-01,Australia,iOS,Referral,18-24,Free_Hint
