transaction_id,player_id,transaction_date,transaction_type,amount
T000001,P00004,2026-01-11,In-App Purchase,3.14
T000002,P00014,2026-01-23,In-App Purchase,4.99
T000003,P00017,2026-01-12,In-App Purchase,3.14
T000004,P00035,2026-01-13,In-App Purchase,9.39
T000005,P00051,2026-01-20,In-App Purchase,1.87
T000006,P00098,2026-01-11,In-App Purchase,7.51
T000007,P00098,2026-01-09,In-App Purchase,4.69
T000008,P00098,2026-01-08,In-App Purchase,9.39
T000009,P00099,2026-01-23,In-App Purchase,9.39
T000010,P00126,2026-01-15,In-App Purchase,5.24
T000011,P00133,2026-01-20,In-App Purchase,5.24
T000012,P00145,2026-01-15,In-App Purchase,2.81
T000013,P00155,2026-01-10,In-App Purchase,2.99
T000014,P00155,2026-01-12,In-App Purchase,7.99
T000015,P00159,2026-01-13,In-App Purchase,2.81
T000016,P00159,2026-01-17,In-App Purchase,2.81
T000017,P00187,2026-01-06,In-App Purchase,5.24
T000018,P00216,2026-01-08,In-App Purchase,2.99
T000019,P00246,2026-01-09,In-App Purchase,1.99
T000020,P00253,2026-01-17,In-App Purchase,8.39
T000021,P00292,2026-01-19,In-App Purchase,8.39
T000022,P00292,2026-01-08,In-App Purchase,10.49
T000023,P00307,2026-01-09,In-App Purchase,5.24
T000024,P00308,2026-01-17,In-App Purchase,3.14
T000025,P00325,2026-01-03,In-App Purchase,9.39
T000026,P00325,2026-01-03,In-App Purchase,7.51
T000027,P00342,2026-01-20,In-App Purchase,3.14
T000028,P00356,2026-01-06,In-App Purchase,3.14
T000029,P00359,2026-01-21,In-App Purchase,10.49
T000030,P00359,2026-01-21,In-App Purchase,10.49
T000031,P00361,2026-01-12,In-App Purchase,2.99
T000032,P00362,2026-01-15,In-App Purchase,4.99
T000033,P00375,2026-01-15,In-App Purchase,5.24
T000034,P00407,2026-01-13,In-App Purchase,4.99
T000035,P00463,2026-01-18,In-App Purchase,2.99
T000036,P00465,2026-01-13,In-App Purchase,3.14
T000037,P00481,2026-01-15,In-App Purchase,4.69
T000038,P00481,2026-01-20,In-App Purchase,1.87
T000039,P00530,2026-02-01,In-App Purchase,1.99
T000040,P00555,2026-01-11,In-App Purchase,7.99
T000041,P00575,2026-01-18,In-App Purchase,4.69
T000042,P00575,2026-01-07,In-App Purchase,7.51
T000043,P00575,2026-01-07,In-App Purchase,4.69
T000044,P00575,2026-01-04,In-App Purchase,4.69
T000045,P00598,2026-01-26,In-App Purchase,8.39
T000046,P00688,2026-01-15,In-App Purchase,4.69
T000047,P00722,2026-01-16,In-App Purchase,3.14
T000048,P00722,2026-01-14,In-App Purchase,3.14
T000049,P00750,2026-01-14,In-App Purchase,5.24
T000050,P00752,2026-01-02,In-App Purchase,1.87
T000051,P00752,2026-01-04,In-App Purchase,1.87
T000052,P00752,2026-01-07,In-App Purchase,2.81
T000053,P00796,2026-01-12,In-App Purchase,2.81
T000054,P00817,2026-01-31,In-App Purchase,1.87
T000055,P00817,2026-01-24,In-App Purchase,4.69
T000056,P00878,2026-01-15,In-App Purchase,2.09
T000057,P00878,2026-01-05,In-App Purchase,2.09
T000058,P00880,2026-01-09,In-App Purchase,3.14
T000059,P00884,2026-01-08,In-App Purchase,9.39
T000060,P00893,2026-01-01,In-App Purchase,4.69
T000061,P00909,2026-01-16,In-App Purchase,3.14
T000062,P00917,2026-01-01,In-App Purchase,9.39
T000063,P00917,2026-01-01,In-App Purchase,4.69
T000064,P00933,2026-01-08,In-App Purchase,4.69
T000065,P00933,2026-01-13,In-App Purchase,2.81
T000066,P00944,2026-01-09,In-App Purchase,1.99
T000067,P00949,2026-01-13,In-App Purchase,4.99
T000068,P00949,2026-01-18,In-App Purchase,14.99
T000069,P00949,2026-01-23,In-App Purchase,4.99
T000070,P00958,2026-02-02,In-App Purchase,2.81
T000071,P00958,2026-02-02,In-App Purchase,4.69
T000072,P00961,2026-02-04,In-App Purchase,10.49
T000073,P00961,2026-02-01,In-App Purchase,3.14
T000074,P00966,2026-01-21,In-App Purchase,2.81
T000075,P00973,2026-01-11,In-App Purchase,2.09
T000076,P00973,2026-01-15,In-App Purchase,5.24
T000077,P00980,2026-01-21,In-App Purchase,4.99
T000078,P00980,2026-01-15,In-App Purchase,9.99
T000079,P01008,2026-01-17,In-App Purchase,2.99
T000080,P01008,2026-01-17,In-App Purchase,7.99
T000081,P01048,2026-01-02,In-App Purchase,4.69
T000082,P01082,2026-01-10,In-App Purchase,10.49
T000083,P01082,2026-01-18,In-App Purchase,3.14
